datetime,price
2021-01-12,30319.524096385543
2021-01-13,28394.26153846154
2021-01-14,31927.709844559584
2021-01-15,27808.98009950249
2021-01-16,30429.184713375795
2021-01-18,47378.44090909091
2021-01-19,30535.815950920245
2021-01-20,29859.78217821782
2021-01-21,31521.585585585584
2021-01-22,31003.863636363636
2021-01-23,32326.545893719805
2021-01-25,35322.88599348534
2021-01-26,36592.980891719744
2021-01-27,38190.05985915493
2021-01-28,37888.645569620254
2021-01-29,41097.84345047923
2021-01-30,42813.915611814344
2021-01-31,61916.5
2021-02-01,40011.55621301775
2021-02-02,40210.640127388535
2021-02-03,38849.52508361204
2021-02-04,44038.013333333336
2021-02-05,41735.96819787986
2021-02-06,41080.33168316832
2021-02-07,54740.142857142855
2021-02-08,38592.0703517588
2021-02-09,39381.35555555556
2021-02-10,46623.03333333333
2021-02-11,31676.14285714286
2021-02-15,34689.239130434784
2021-02-16,30597.333333333332
2021-02-17,29681.819672131147
2021-02-18,31458.40625
2021-02-19,31518.339805825242
2021-02-20,28820.525
2021-02-22,33036.979452054795
2021-02-23,30876.992753623188
2021-02-24,31740.955555555556
2021-02-25,30450.216666666667
2021-02-26,27694.355263157893
2021-02-27,30446.252336448597
2021-03-01,28745.08843537415
2021-03-02,29420.619834710742
2021-03-03,29950.025477707008
2021-03-04,28289.843137254902
2021-03-05,27617.289772727272
2021-03-06,27908.97391304348
2021-03-08,28412.273291925467
2021-03-09,27265.047297297297
2021-03-10,27189.05
2021-03-11,100709.98773006134
2021-03-12,25903.952631578948
2021-03-13,26919.37168141593
2021-03-15,27046.972972972973
2021-03-16,26540.089743589742
2021-03-17,25767.437908496733
2021-03-18,26484.175
2021-03-19,25149.815950920245
2021-03-20,24806.081967213115
2021-03-22,25003.81182795699
2021-03-23,25734.993788819876
2021-03-24,30972.509316770185
2021-03-25,26129.444444444445
2021-03-26,26999.0
2021-03-27,25038.08527131783
2021-03-29,26748.322784810127
2021-03-30,23731.348387096776
2021-03-31,25787.910344827586
2021-04-01,26500.54109589041
2021-04-02,26076.264367816093
2021-04-03,25346.166666666668
2021-04-05,28633.057324840764
2021-04-06,25210.77435897436
2021-04-07,27236.07051282051
2021-04-08,24838.664634146342
2021-04-09,23964.430051813473
2021-04-10,26077.007352941175
2021-04-12,27242.452229299364
2021-04-13,25464.560606060608
2021-04-14,26679.508982035928
2021-04-15,28520.48407643312
2021-04-16,25502.566473988438
2021-04-17,26448.322033898305
2021-04-19,28661.488372093023
2021-04-20,26047.894117647058
2021-04-21,25215.3
2021-04-22,27620.31055900621
2021-04-23,24537.668478260868
2021-04-24,25215.417475728154
2021-04-26,26862.932098765432
2021-04-27,24748.185628742514
2021-04-28,25780.29104477612
2021-04-29,25444.291666666668
2021-04-30,24722.58860759494
2021-05-01,25298.252252252252
2021-05-03,27530.536144578313
2021-05-04,24993.812903225808
2021-05-05,27942.495575221237
2021-05-06,30040.63309352518
2021-05-07,27673.965986394556
2021-05-08,23112.372093023256
2021-05-10,28058.31654676259
2021-05-11,25952.267973856207
2021-05-12,27127.9625
2021-05-13,26109.270967741937
2021-05-14,25771.660606060606
2021-05-15,25143.6213592233
2021-05-17,24962.786666666667
2021-05-18,22536.4
2021-05-19,21920.333333333332
2021-05-20,22855.849557522124
2021-05-21,23208.07438016529
2021-05-22,22806.037735849055
2021-05-24,25800.826923076922
2021-05-25,24365.747899159665
2021-05-26,25591.76724137931
2021-05-27,24530.87037037037
2021-05-28,24178.251748251747
2021-05-29,23277.6
2021-05-31,26447.91338582677
2021-06-01,24350.8661971831
2021-06-02,24298.95394736842
2021-06-03,23697.710743801654
2021-06-04,26503.083916083917
2021-06-05,23369.19801980198
2021-06-07,26911.6821192053
2021-06-08,21872.257352941175
2021-06-09,22358.87591240876
2021-06-10,22252.278911564626
2021-06-11,21174.896103896102
2021-06-12,20638.050847457627
2021-06-14,20758.78
2021-06-15,20049.314465408806
2021-06-16,19437.45112781955
2021-06-17,18737.027397260274
2021-06-18,20280.167883211678
2021-06-19,18086.118811881188
2021-06-21,19799.18125
2021-06-22,18055.965986394556
2021-06-23,19669.97435897436
2021-06-24,19351.63309352518
2021-06-25,18160.2625
2021-06-26,20381.65
2021-06-28,18794.124137931034
2021-06-29,17062.35
2021-06-30,18351.15
2021-07-01,17855.37908496732
2021-07-02,91814.6948051948
2021-07-03,16572.23232323232
2021-07-05,18923.229166666668
2021-07-06,16083.485074626866
2021-07-07,16908.739837398374
2021-07-08,16277.652173913044
2021-07-09,14704.05303030303
2021-07-10,13899.77659574468
2021-07-12,14910.65909090909
2021-07-13,13569.954954954956
2021-07-14,15147.41573033708
2021-07-15,13137.697247706423
2021-07-16,11861.87037037037
2021-07-17,12294.225806451614
2021-07-19,15106.6875
2021-07-20,14475.022727272728
2021-07-21,13806.265060240963
2021-07-22,14608.983870967742
2021-07-23,11044.375
2021-07-24,13855.26
2021-07-26,14945.9
2021-07-27,13648.134020618556
2021-07-28,15129.5
2021-07-29,13524.825396825398
2021-07-30,13523.70588235294
2021-07-31,12969.93023255814
2021-08-02,15595.621621621622
2021-08-03,19132.037037037036
2021-08-04,15872.934426229509
2021-08-05,17880.46
2021-08-06,16874.35087719298
2021-08-07,16113.1
2021-08-09,20334.516666666666
2021-08-10,16390.872727272726
2021-08-11,18937.918367346938
2021-08-12,17790.352941176472
2021-08-13,17646.906976744187
2021-08-14,16457.066666666666
2021-08-16,18152.473684210527
2021-08-17,16740.513513513513
2021-08-18,15498.842105263158
2021-08-19,17396.75
2021-08-20,14494.586206896553
2021-08-21,13416.6
2021-08-23,25886.95238095238
2021-08-24,7600.176470588235
2021-08-25,12450.384615384615
2021-08-26,19428.714285714286
